path,avg_volume,last_volume,RSI,Close_price,low_BB
trend\рисунок1.png,7364.903294086379,76266.39788,15.13987724714899,198.31,201.56399627193673
trend\рисунок2.png,7914.087442126246,43907.30209,18.000876912482884,192.19,193.96420642889078
trend\рисунок3.png,4618.054674418605,23576.89121,18.89123028613256,239.89,241.503249712493
trend\рисунок4.png,5248.149107774087,87852.42315,9.516952212218182,226.31,232.21874634790993
trend\рисунок5.png,3962.6707154152823,36848.6972,22.381682900888862,222.43,222.90415175681818
trend\рисунок6.png,5138.954310963455,51686.7023,12.860504517583374,4155.57,4262.907636780339
trend\рисунок7.png,5446.182075415282,42342.7226,10.93567382490971,4099.94,4152.718386969721
trend\рисунок8.png,7364.903294086379,76266.39788,15.13987724714899,198.31,201.56399627193673
trend\рисунок9.png,7914.087442126246,43907.30209,18.000876912482884,192.19,193.96420642889078
trend\рисунок10.png,4618.054674418605,23576.89121,18.89123028613256,239.89,241.503249712493
trend\рисунок11.png,5248.149107774087,87852.42315,9.516952212218182,226.31,232.21874634790993
trend\рисунок12.png,3962.6707154152823,36848.6972,22.381682900888862,222.43,222.90415175681818
trend\рисунок13.png,5138.954310963455,51686.7023,12.860504517583374,4155.57,4262.907636780339
trend\рисунок14.png,5446.182075415282,42342.7226,10.93567382490971,4099.94,4152.718386969721
trend\рисунок15.png,7364.903294086379,76266.39788,15.13987724714899,198.31,201.56399627193673
trend\рисунок16.png,7914.087442126246,43907.30209,18.000876912482884,192.19,193.96420642889078
trend\рисунок17.png,4618.054674418605,23576.89121,18.89123028613256,239.89,241.503249712493
trend\рисунок18.png,5248.149107774087,87852.42315,9.516952212218182,226.31,232.21874634790993
trend\рисунок19.png,3962.6707154152823,36848.6972,22.381682900888862,222.43,222.90415175681818
trend\рисунок20.png,5138.954310963455,51686.7023,12.860504517583374,4155.57,4262.907636780339
trend\рисунок21.png,5446.182075415282,42342.7226,10.93567382490971,4099.94,4152.718386969721
trend\рисунок22.png,7364.903294086379,76266.39788,15.13987724714899,198.31,201.56399627193673
trend\рисунок23.png,7914.087442126246,43907.30209,18.000876912482884,192.19,193.96420642889078
trend\рисунок24.png,4618.054674418605,23576.89121,18.89123028613256,239.89,241.503249712493
trend\рисунок25.png,5248.149107774087,87852.42315,9.516952212218182,226.31,232.21874634790993
trend\рисунок26.png,3962.6707154152823,36848.6972,22.381682900888862,222.43,222.90415175681818
trend\рисунок27.png,5138.954310963455,51686.7023,12.860504517583374,4155.57,4262.907636780339
trend\рисунок28.png,5446.182075415282,42342.7226,10.93567382490971,4099.94,4152.718386969721
trend\рисунок29.png,3405.6452832225914,21917.138,29.78126508016677,160.15,160.8433852984059
trend\рисунок30.png,8636.705754651162,52018.66617,25.2125799423787,253.88,255.61910836071272
trend\рисунок31.png,8955.355254385382,104556.86721,18.06379753760693,246.31,249.54616306325866
trend\рисунок32.png,11855.605199800664,78037.31987,21.891231658218334,262.94,266.4960083771177
trend\рисунок33.png,6110.783330797343,33859.73175,25.317173037663025,247.08,247.2299481234933
trend\рисунок34.png,7577.988041362127,40004.10072,51.53331030845045,238.42,234.69883427736661
trend\рисунок35.png,8570.769820631229,53887.65973,27.429144220114456,223.25,221.87519901584176
trend\рисунок36.png,8672.339373754154,70039.27962,26.337579430681334,199.43,201.9150461330281
trend\рисунок37.png,13200.096011827241,67369.06694,23.639043450548332,174.12,175.97675197486475
trend\рисунок38.png,13742.984267342194,121907.07312,10.609203375741535,144.16,155.28686276239029
trend\рисунок39.png,19275.8994769103,134188.25324,20.376980446221125,112.55,118.16810848511157
trend\рисунок40.png,7500.411424385382,37736.64777,14.070898806136395,195.83,197.0866721669848
trend\рисунок41.png,10794.31641963455,77930.69443,12.91215451649213,191.12,196.50587134877813
trend\рисунок42.png,10709.328040199336,75263.73377,33.21589505589924,181.9,181.2769261228843
trend\рисунок43.png,7364.903294086379,76266.39788,15.13987724714899,198.31,201.56399627193673
trend\рисунок44.png,7914.087442126246,43907.30209,18.000876912482884,192.19,193.96420642889078
trend\рисунок45.png,6710.0733141528235,26858.50487,21.672664860085426,199.9,201.95845240734798
trend\рисунок46.png,4618.054674418605,23576.89121,18.89123028613256,239.89,241.503249712493
trend\рисунок47.png,5248.149107774087,87852.42315,9.516952212218182,226.31,232.21874634790993
trend\рисунок48.png,3962.6707154152823,36848.6972,22.381682900888862,222.43,222.90415175681818
trend\рисунок49.png,7358.711444817276,39635.48813,26.352255754933385,230.05,231.85296921788483
trend\рисунок50.png,6523.718342558141,26270.4871,20.90921870850948,225.15,226.1177622865723
trend\рисунок51.png,6255.052312126246,86051.78433,13.2457846487854,217.84,220.90114840269146
trend\рисунок52.png,4829.427706179403,63357.95119,22.163172343322238,235.3,236.82625740788737
trend\рисунок53.png,5046.608251196014,32385.49098,23.65076474982992,232.83,233.7675919935882
trend\рисунок54.png,10003.322077508306,91685.96968,14.580805121522749,371.48,372.1183926896633
trend\рисунок55.png,7948.541147242525,29013.40756,32.76182014461882,375.37,376.4438430604226
trend\рисунок56.png,8161.579897840532,58948.20086,22.07791855297172,410.07,413.5425004237956
trend\рисунок57.png,8725.87608063123,35378.64424,43.60069775363938,400.41,395.3443025719728
trend\рисунок58.png,17539.47596521595,85762.49694,26.88338152152397,414.52,418.1895478808891
trend\рисунок59.png,20176.550830132892,74015.77841,24.70210454725827,381.47,389.6034492575806
trend\рисунок60.png,21218.13525870432,78272.23587,21.8956901343839,354.22,356.0551677618954
trend\рисунок61.png,22314.47846614618,127349.03866,24.208834712716467,325.58,328.10895856912265
